"latitude","longitude","timezone","requested_datetime","sunrise","sunset","temp","feels_like","pressure","humidity","dew_point","uvi","clouds","visibility","wind_speed","wind_deg","weather_id","weather_main","weather_description","weather_icon"
"47.9504","-124.3855","America/Los_Angeles","2023-10-08T08:41:20.000Z","2023-10-08T14:26:14.000Z","2023-10-09T01:43:41.000Z","14.52","14.33","1014","88","12.56","0","100","10000","2.57","180","804","Clouds","overcast clouds","04n"
"27.9506","-82.4572","America/New_York","2023-10-10T08:41:20.000Z","2023-10-10T11:27:02.000Z","2023-10-10T23:06:25.000Z","20.33","20.35","1012","74","15.55","0","0","10000","3.6","40","800","Clear","clear sky","01n"
"28.5383","-81.3792","America/New_York","2023-10-10T08:41:20.000Z","2023-10-10T11:23:03.000Z","2023-10-10T23:01:46.000Z","20.41","20.52","1011","77","16.25","0","0","10000","4.12","360","800","Clear","clear sky","01n"
"30.3189","-81.6902","America/New_York","2023-10-11T08:41:20.000Z","2023-10-11T11:25:57.000Z","2023-10-11T23:00:50.000Z","19.4","19.75","1011","90","17.72","0","0","10000","0.0","0","800","Clear","clear sky","01n"
"32.7767","-96.797","America/Chicago","2023-10-08T08:41:20.000Z","2023-10-08T12:25:49.000Z","2023-10-09T00:03:26.000Z","13.43","12.58","1022","67","7.43","0","0","10000","0.0","0","800","Clear","clear sky","01n"
"36.1699","-115.1398","America/Los_Angeles","2023-10-10T08:41:20.000Z","2023-10-10T13:42:49.000Z","2023-10-11T01:12:03.000Z","25.7","24.87","1004","21","1.76","0","0","10000","6.26","240","800","Clear","clear sky","01n"
"32.7767","-96.797","America/Chicago","2023-10-09T08:41:20.000Z","2023-10-09T12:26:32.000Z","2023-10-10T00:02:10.000Z","17.49","16.78","1013","57","8.89","0","0","10000","2.57","150","800","Clear","clear sky","01n"
"32.7767","-96.797","America/Chicago","2023-10-11T08:41:20.000Z","2023-10-11T12:27:57.000Z","2023-10-11T23:59:39.000Z","20.03","20.2","1007","81","16.67","0","20","10000","4.12","170","801","Clouds","few clouds","02n"
"27.9506","-82.4572","America/New_York","2023-10-07T08:41:20.000Z","2023-10-07T11:25:26.000Z","2023-10-07T23:09:43.000Z","25.27","26.02","1012","83","22.17","0","100","10000","2.57","90","804","Clouds","overcast clouds","04n"
"47.9504","-124.3855","America/Los_Angeles","2023-10-11T08:41:20.000Z","2023-10-11T14:30:32.000Z","2023-10-12T01:37:44.000Z","11.08","10.7","996","94","10.15","0","100","10000","3.6","120","501","Rain","moderate rain","10n"
"40.7128","-74.006","America/New_York","2023-10-08T08:41:20.000Z","2023-10-08T10:59:16.000Z","2023-10-08T22:27:42.000Z","10.66","9.79","1004","77","6.8","0","0","10000","7.6","276","800","Clear","clear sky","01n"
"40.7128","-74.006","America/New_York","2023-10-10T08:41:20.000Z","2023-10-10T11:01:21.000Z","2023-10-10T22:24:30.000Z","12.54","11.86","1009","77","8.62","0","0","10000","2.06","280","800","Clear","clear sky","01n"
"34.0522","-118.2437","America/Los_Angeles","2023-10-10T08:41:20.000Z","2023-10-10T13:53:52.000Z","2023-10-11T01:25:49.000Z","16.83","16.81","1009","86","14.48","0","0","10000","0.0","0","800","Clear","clear sky","01n"
"28.5383","-81.3792","America/New_York","2023-10-09T08:41:20.000Z","2023-10-09T11:22:29.000Z","2023-10-09T23:02:53.000Z","18.53","18.37","1011","74","13.81","0","0","10000","4.12","360","800","Clear","clear sky","01n"
"41.8781","-87.6298","America/Chicago","2023-10-10T08:41:20.000Z","2023-10-10T11:56:46.000Z","2023-10-10T23:18:03.000Z","6.35","3.74","1008","61","-0.54","0","20","10000","3.6","270","801","Clouds","few clouds","02n"
"36.1699","-115.1398","America/Los_Angeles","2023-10-09T08:41:20.000Z","2023-10-09T13:41:58.000Z","2023-10-10T01:13:26.000Z","23.82","22.91","1012","25","2.63","0","0","10000","3.58","340","800","Clear","clear sky","01n"
"30.3189","-81.6902","America/New_York","2023-10-07T08:41:20.000Z","2023-10-07T11:23:28.000Z","2023-10-07T23:05:33.000Z","21.07","21.71","1011","95","20.24","0","0","10000","2.06","280","701","Mist","mist","50n"
"25.7617","-80.1918","America/New_York","2023-10-10T08:41:20.000Z","2023-10-10T11:16:46.000Z","2023-10-10T22:58:34.000Z","24.33","25.22","1010","92","22.95","0","0","10000","2.06","330","800","Clear","clear sky","01n"
"25.7617","-80.1918","America/New_York","2023-10-09T08:41:20.000Z","2023-10-09T11:16:18.000Z","2023-10-09T22:59:35.000Z","24.95","25.59","1010","80","21.26","0","75","10000","2.06","30","803","Clouds","broken clouds","04n"
"25.7617","-80.1918","America/New_York","2023-10-11T08:41:20.000Z","2023-10-11T11:17:14.000Z","2023-10-11T22:57:33.000Z","27.57","31.44","1010","83","24.42","0","75","10000","2.06","140","803","Clouds","broken clouds","04n"
"40.7128","-74.006","America/New_York","2023-10-07T08:41:20.000Z","2023-10-07T10:58:14.000Z","2023-10-07T22:29:20.000Z","19.73","20.19","1009","93","18.57","0","100","10000","4.02","131","501","Rain","moderate rain","10n"
